C,A,N,S,L,I,M,n_pass,verdict,name,ticker,market,last,pivot
unknown,fail,fail,pass,fail,pass,pass,3,fail,케이엠더블유,032500.KQ,KR,19560.0,19520.0
unknown,fail,pass,pass,pass,pass,fail,4,fail,TSE4933,4933.T,JP,2409.0,1681.0
unknown,fail,fail,pass,pass,fail,pass,3,fail,아이씨티케이,456010.KQ,KR,22600.0,20550.0
unknown,fail,fail,pass,fail,pass,pass,3,fail,Critical Metals Corp. - Ordinary Share,CRML,US,8.17,8.56
unknown,fail,fail,pass,pass,pass,pass,4,fail,Cybin Inc. - Common Stock,HELP,US,12.59,14.35
pass,fail,fail,pass,pass,fail,pass,4,fail,Arm Holdings plc - American Depositary,ARM,US,306.34,287.15
pass,fail,fail,pass,pass,pass,pass,5,fail,"Advanced Micro Devices, Inc. - Common ",AMD,US,629.26,559.91
fail,fail,fail,pass,fail,pass,pass,3,fail,Generac Holdlings Inc. Common Stock,GNRC,US,199.42,212.6
unknown,fail,fail,pass,pass,pass,pass,4,fail,Intel Corporation - Common Stock,INTC,US,127.39,111.37
fail,fail,fail,pass,fail,pass,pass,3,fail,"Coinbase Global, Inc. - Class A Common",COIN,US,199.21,196.21
unknown,fail,fail,pass,pass,pass,pass,4,fail,CMB.TECH NV Ordinary Shares,CMBT,US,19.16,19.97
fail,fail,fail,pass,fail,pass,pass,3,fail,Strategy Inc - Class A Common Stock,MSTR,US,161.61,154.02
fail,pass,fail,pass,fail,unknown,pass,3,fail,RFHIC,218410.KQ,KR,58600.0,54700.0
fail,fail,fail,pass,fail,pass,pass,3,fail,Radware Ltd. - Ordinary Shares,RDWR,US,30.44,30.17
fail,fail,fail,pass,fail,pass,pass,3,fail,GFL Environmental Inc. Subordinate vot,GFL,US,41.9,44.0
fail,fail,fail,pass,fail,pass,pass,3,fail,코미코,183300.KQ,KR,31800.0,30250.0
unknown,pass,fail,pass,unknown,pass,pass,4,partial,Hyperliquid Strategies Inc - Common St,PURR,US,14.09,14.47
unknown,fail,fail,pass,pass,pass,pass,4,fail,"PubMatic, Inc. - Class A Common Stock",PUBM,US,18.55,17.88
unknown,fail,fail,pass,fail,fail,fail,1,fail,中晶科技,003026.SZ,CN,35.55,37.0
unknown,unknown,fail,pass,fail,unknown,pass,2,fail,비나텍,126340.KQ,KR,86800.0,76200.0
fail,pass,fail,pass,fail,fail,pass,3,fail,"Magnite, Inc. - Common Stock",MGNI,US,24.07,25.79
unknown,unknown,fail,pass,pass,unknown,pass,3,partial,오이솔루션,138080.KQ,KR,28350.0,26000.0
pass,pass,fail,pass,pass,pass,pass,6,canslim,Aura Minerals Inc. - Common Shares,AUGO,US,83.07,90.64
unknown,fail,fail,pass,fail,pass,fail,2,fail,科森科技,603626.SS,CN,22.51,21.69
unknown,fail,fail,pass,fail,pass,fail,2,fail,中材科技,002080.SZ,CN,57.2,63.7
fail,fail,fail,pass,pass,pass,pass,4,fail,두산,000150.KS,KR,1512000.0,1397000.0
unknown,fail,fail,pass,fail,fail,fail,1,fail,LUYUAN GP HLDG,2451.HK,HK,14.31,17.35
unknown,unknown,fail,pass,unknown,pass,fail,2,fail,INSILICO,3696.HK,HK,56.3,55.4
unknown,fail,fail,pass,pass,pass,fail,3,fail,共达电声,002655.SZ,CN,37.43,40.77
unknown,fail,pass,pass,pass,pass,fail,4,fail,TSE6191,6191.T,JP,1545.0,1073.0
fail,pass,fail,pass,fail,pass,pass,4,fail,LS에코에너지,229640.KS,KR,64000.0,51900.0
unknown,fail,fail,pass,pass,fail,fail,2,fail,TSE3444,3444.T,JP,1122.0,1130.0
unknown,fail,fail,pass,fail,fail,pass,2,fail,"Vera Therapeutics, Inc. - Class A Comm",VERA,US,33.05,36.96
unknown,fail,fail,pass,fail,pass,fail,2,fail,西陇科学,002584.SZ,CN,8.79,9.55
unknown,fail,fail,pass,unknown,fail,pass,2,fail,티엠씨,217590.KS,KR,14330.0,13490.0
unknown,pass,fail,pass,fail,pass,fail,3,fail,TSE3692,3692.T,JP,7730.0,6470.0
unknown,fail,pass,pass,fail,fail,fail,2,fail,北自科技股份,603082.SS,CN,46.74,52.98
fail,fail,fail,pass,fail,fail,pass,2,fail,Waystar Holding Corp. - Common Stock,WAY,US,24.76,26.87
pass,fail,fail,pass,pass,pass,pass,5,fail,DB하이텍,000990.KS,KR,132000.0,120000.0
fail,fail,fail,pass,fail,fail,pass,2,fail,네패스,033640.KQ,KR,27600.0,24300.0
unknown,fail,fail,pass,fail,fail,fail,1,fail,川润股份,002272.SZ,CN,15.55,18.13
unknown,unknown,pass,unknown,pass,unknown,fail,2,fail,TSE2038,2038.T,JP,2883.0,2536.0
unknown,unknown,pass,unknown,fail,unknown,fail,1,fail,TSE1699,1699.T,JP,703.1,682.0
