종목명,코드,시장,섹터,현재가,갭일,갭후일수,갭크기%,돌파한매물대,매물대대비%,횡보주,횡보폭%,거래량배수,갭유지,갭이후%,사상최고가,최고가대비%,52주고점대비%,신규상장,상대강도,갭점수,막돌파,매수권,투자포인트,소개
Roivant Sciences Ltd. - Common Shares,ROIV,US,미분류,41.48,2026-09-08,0,13.8,37.97,9.2,18.0,27.7,3.94,True,3.7,42.5,2.4,2.4,False,99.0,84.0,True,True,- · 주가강도 상위 1% (최상위권),-
Principal Financial Group Inc - Common,PFG,US,미분류,115.04,2026-09-03,2,3.6,116.61,-1.3,18.0,15.6,2.66,True,-1.1,121.18,5.1,5.1,False,66.0,76.0,True,True,- · 분기이익 +3% · 주가강도 66점,-
中国出版,601949.SS,CN,미분류,7.05,2026-09-07,1,4.8,5.95,18.5,18.0,23.4,10.13,True,15.4,17.04,58.6,12.7,False,58.0,75.0,True,False,- · 주가강도 58점,-
云南旅游,002059.SZ,CN,미분류,6.28,2026-09-03,3,10.1,5.25,19.6,18.0,23.4,2.52,True,8.7,16.99,63.0,22.4,False,74.0,71.0,True,True,- · 주가강도 74점,-
ZIM Integrated Shipping Services Ltd. ,ZIM,US,미분류,30.08,2026-09-08,0,5.1,29.56,1.8,18.0,22.4,2.9,True,-0.4,91.23,67.0,1.1,False,91.0,71.0,True,True,- · 분기이익 +179% 급증 · 주가강도 상위 9% (최상위권),-
