종목명,코드,시장,섹터,현재가,갭일,갭후일수,갭크기%,거래량배수,갭시가,갭저가,박스고점,박스저점,횡보주,횡보폭%,6개월고점,성곽돌파,완전돌파,갭유지,갭시가대비%,박스위%,막돌파,사상최고가,최고가대비%,52주고점대비%,신규상장,상대강도,갭점수,투자포인트,소개
GLOBAL SECURITY EXPERTS INC,4417.T,JP,기술·IT,5300.0,2026-09-15,0,4.97,3.84,5170.0,5110.0,5060.0,4030.0,8.0,25.6,5060.0,True,True,True,2.51,4.74,True,5500.0,-3.6,3.6,False,93.0,64.0,기술·IT 소형주 · 시총 781억엔 · ROE 41% · 박스 8주 · 폭 26% · 완전돌파 · 주가강도 상위 7% (최상위권),기술·IT
"Frequency Electronics, Inc. - Common S",FEIM,US,기술·IT,85.05,2026-09-11,2,33.13,4.86,82.62,78.32,80.6,55.89,7.0,44.2,80.6,True,False,True,2.94,5.52,True,89.76,-5.2,5.2,False,94.0,73.0,통신장비 소형주 · 시총 10억달러 · 분기이익 +486% 급증 · 박스 7주 · 폭 44% · 주가강도 상위 6% (최상위권),통신장비
TSE1671,1671.T,JP,미분류,6230.0,2026-09-11,2,7.77,3.19,6213.0,6058.0,5864.0,4591.0,8.0,27.7,6008.0,True,True,True,0.27,6.24,True,7140.0,-12.7,0.1,False,90.0,66.0,- · 박스 8주 · 폭 28% · 완전돌파 · 주가강도 상위 10% (최상위권),-
KAKAKU.COM. INC,2371.T,JP,통신·미디어,3839.0,2026-09-11,2,3.46,1.62,3823.0,3772.0,3740.0,3201.0,17.0,16.8,3740.0,True,True,True,0.42,2.65,True,3915.0,-1.9,0.8,False,86.0,66.0,"인터넷 콘텐츠 중형주 · 시총 7,510억엔 · ROE 31% · 박스 17주 · 폭 17% · 완전돌파 · 주가강도 상위 14%",인터넷 콘텐츠
Roivant Sciences Ltd. - Common Shares,ROIV,US,헬스케어,39.5,2026-09-08,5,14.46,3.95,39.98,38.41,37.97,30.57,11.0,24.2,37.97,True,True,True,-1.2,4.03,True,42.5,-7.1,7.1,False,93.0,74.0,바이오 중형주 · 시총 300억달러 · 박스 11주 · 폭 24% · 완전돌파 · 주가강도 상위 7% (최상위권),바이오
CMB.TECH NV Ordinary Shares,CMBT,US,에너지,19.56,2026-09-04,6,3.21,1.59,19.3,19.3,19.04,14.83,8.0,28.4,19.04,True,True,True,1.35,2.73,True,21.26,-8.0,1.7,False,91.0,55.0,석유·가스 수송 중형주 · 시총 56억달러 · ROE 30% · 박스 8주 · 폭 28% · 완전돌파 · 주가강도 상위 9% (최상위권),석유·가스 수송
SENSHU ELECTRIC CO,9824.T,JP,기술·IT,7610.0,2026-09-07,6,4.07,2.11,7680.0,7570.0,7570.0,5340.0,36.0,41.8,7570.0,True,False,True,-0.91,0.53,True,8150.0,-6.6,6.6,False,75.0,49.0,"전자·컴퓨터 유통 소형주 · 시총 1,375억엔 · ROE 15% · 박스 36주 · 폭 42% · 주가강도 75점",전자·컴퓨터 유통
中新赛克,002912.SZ,CN,기술·IT,28.45,2026-09-15,0,10.02,9.84,28.45,26.66,25.86,17.97,7.0,43.9,30.29,False,True,True,0.0,10.02,False,128.68,-77.9,20.0,False,61.0,64.0,IT 서비스 소형주 · 시총 49억위안 · ROE 0% · 박스 7주 · 폭 44% · 완전돌파 · 주가강도 61점,IT 서비스
中视传媒,600088.SS,CN,통신·미디어,14.44,2026-09-15,0,9.91,7.76,16.2,14.41,15.26,10.55,14.0,44.6,19.5,False,False,False,-10.86,-5.37,False,44.51,-67.6,27.8,False,36.0,62.0,엔터테인먼트 소형주 · 시총 59억위안 · 박스 14주 · 폭 45% · 주가강도 36점,엔터테인먼트
"Vera Therapeutics, Inc. - Class A Comm",VERA,US,헬스케어,33.67,2026-09-15,0,8.66,4.86,37.0,32.73,36.96,28.86,7.0,28.1,47.0,False,False,False,-9.0,-8.9,False,56.05,-39.9,39.9,False,34.0,58.0,바이오 소형주 · 시총 24억달러 · 박스 7주 · 폭 28% · 주가강도 34점,바이오
三力制药,603439.SS,CN,헬스케어,14.14,2026-09-15,0,10.01,5.06,15.17,13.58,13.79,9.76,7.0,41.3,17.46,False,False,True,-6.79,2.54,False,44.1,-67.9,19.0,False,45.0,58.0,헬스케어 소형주 · 시총 57억위안 · ROE 0% · 박스 7주 · 폭 41% · 주가강도 45점,헬스케어
启明信息,002232.SZ,CN,기술·IT,16.81,2026-09-15,0,10.01,2.2,16.81,16.76,15.99,12.87,15.0,24.2,18.66,False,True,True,0.0,5.13,False,33.74,-50.2,29.4,False,32.0,54.0,기술·IT 소형주 · 시총 69억위안 · ROE 2% · 박스 15주 · 폭 24% · 완전돌파 · 주가강도 32점,기술·IT
春光科技,603657.SS,CN,기술·IT,32.59,2026-09-15,0,4.17,2.97,32.7,31.59,31.39,21.92,6.0,43.2,36.58,False,True,True,-0.34,3.82,False,48.41,-32.7,32.7,False,56.0,45.0,가전·전자기기 소형주 · 시총 44억위안 · 박스 6주 · 폭 43% · 완전돌파 · 주가강도 56점,가전·전자기기
Waystar Holding Corp. - Common Stock,WAY,US,헬스케어,26.67,2026-09-15,0,7.95,2.26,26.88,25.57,26.87,21.72,6.0,23.7,27.17,False,False,False,-0.78,-0.74,False,48.11,-44.6,33.9,False,50.0,40.0,의료정보 서비스 중형주 · 시총 51억달러 · 분기이익 +17% · ROE 4% · 박스 6주 · 폭 24% · 주가강도 50점,의료정보 서비스
AIRTRIP CORP,6191.T,JP,경기소비재,1640.0,2026-09-14,1,60.58,77.61,1723.0,1592.0,1073.0,758.0,10.0,41.6,1073.0,True,True,True,-4.82,52.84,False,4595.0,-64.3,7.2,False,97.0,75.0,여행 서비스 소형주 · 시총 350억엔 · ROE 15% · 박스 10주 · 폭 42% · 완전돌파 · 주가강도 상위 3% (최상위권),여행 서비스
KIKUCHI SEISAKUSHO CO LTD,3444.T,JP,산업재,1215.0,2026-09-14,1,20.39,46.27,1222.0,1080.0,1130.0,895.0,6.0,26.3,1880.0,False,False,True,-0.57,7.52,False,3380.0,-64.1,35.4,False,96.0,65.0,산업기계 소형주 · 시총 148억엔 · ROE 2% · 박스 6주 · 폭 26% · 주가강도 상위 4% (최상위권),산업기계
영풍,000670.KS,KR,기술·IT,50500.0,2026-09-14,1,24.45,20.46,47850.0,46100.0,41200.0,32250.0,6.0,27.8,71000.0,False,True,True,5.54,22.57,False,162247.95,-68.9,29.5,False,41.0,64.0,"전자부품 소형주 · 시총 9,296억원 · ROE 4% · 박스 6주 · 폭 28% · 완전돌파 · 주가강도 41점",전자부품
雪天盐业,600929.SS,CN,소재,5.72,2026-09-14,1,9.93,7.34,6.64,6.09,6.04,4.7,8.0,28.5,7.33,False,True,False,-13.86,-5.3,False,24.51,-76.7,22.0,False,41.0,64.0,화학 중형주 · 시총 104억위안 · ROE 1% · 박스 8주 · 폭 28% · 완전돌파 · 주가강도 41점,화학
通达股份,002560.SZ,CN,산업재,7.72,2026-09-14,1,9.01,2.53,7.5,7.3,6.88,5.84,7.0,17.8,12.9,False,True,True,2.93,12.21,False,12.96,-40.5,40.2,False,50.0,61.0,전기장비·부품 소형주 · 시총 56억위안 · ROE 5% · 박스 7주 · 폭 18% · 완전돌파 · 주가강도 50점,전기장비·부품
闽东电力,000993.SZ,CN,유틸리티,16.8,2026-09-14,1,4.54,4.41,14.51,14.51,13.88,9.61,8.0,44.4,17.27,False,True,True,15.78,21.04,False,19.99,-16.0,2.7,False,83.0,58.0,유틸리티 소형주 · 시총 70억위안 · ROE 0% · 박스 8주 · 폭 44% · 완전돌파 · 주가강도 상위 17%,유틸리티
神宇股份,300563.SZ,CN,기술·IT,27.09,2026-09-14,1,7.09,5.88,29.9,27.22,27.92,21.5,6.0,29.9,38.0,False,False,False,-9.4,-2.97,False,72.99,-62.9,47.4,False,9.0,54.0,전자·컴퓨터 유통 소형주 · 시총 52억위안 · ROE 6% · 박스 6주 · 폭 30% · 주가강도 9점,전자·컴퓨터 유통
银河电子,002519.SZ,CN,기술·IT,6.06,2026-09-14,1,2.06,4.13,6.44,6.23,6.31,5.14,6.0,22.8,9.11,False,False,False,-5.9,-3.96,False,16.69,-63.7,52.0,False,32.0,48.0,통신장비 소형주 · 시총 71억위안 · 박스 6주 · 폭 23% · 주가강도 32점,통신장비
Frontline Plc Ordinary Shares,FRO,US,에너지,51.59,2026-09-14,1,2.11,1.8,50.25,49.16,49.56,35.7,10.0,38.8,49.56,True,False,True,2.67,4.1,False,361.8,-85.7,2.5,False,93.0,45.0,석유·가스 수송 중형주 · 시총 115억달러 · 분기이익 +746% 급증 · ROE 54% · 박스 10주 · 폭 39% · 주가강도 상위 7% (최상위권),석유·가스 수송
Obsidian Energy Ltd. Common Shares,OBE,US,에너지,12.7,2026-09-14,1,4.63,1.91,13.57,12.25,13.08,9.06,7.0,44.4,14.59,False,False,False,-6.41,-2.91,False,343.77,-96.3,13.0,False,91.0,41.0,석유·가스 개발 소형주 · 시총 9억달러 · 분기이익 +190% 급증 · ROE 2% · 박스 7주 · 폭 44% · 주가강도 상위 9% (최상위권),석유·가스 개발
Roblox Corporation Class A Common Stoc,RBLX,US,통신·미디어,50.24,2026-09-14,1,4.4,1.62,47.5,46.73,46.5,33.88,6.0,37.2,64.42,False,True,True,5.77,8.04,False,150.59,-66.6,64.6,False,6.0,40.0,게임·콘텐츠 중형주 · 시총 359억달러 · 박스 6주 · 폭 37% · 완전돌파 · 주가강도 6점,게임·콘텐츠
ACV Auctions Inc. Class A Common Stock,ACVA,US,경기소비재,10.43,2026-09-11,2,44.81,28.25,10.45,10.41,8.38,6.45,11.0,29.8,8.38,True,True,True,-0.24,24.54,False,37.77,-72.4,1.6,False,88.0,72.0,자동차 판매 소형주 · 시총 18억달러 · 박스 11주 · 폭 30% · 완전돌파 · 주가강도 상위 12%,자동차 판매
샘표식품,248170.KS,KR,필수소비재,23150.0,2026-09-11,2,14.59,43.82,34550.0,25400.0,30150.0,21050.0,10.0,43.2,30150.0,True,False,False,-33.0,-23.22,False,72300.0,-68.0,36.0,False,22.0,62.0,"가공식품 소형주 · 시총 1,411억원 · 분기이익 -54% · ROE 10% · 박스 10주 · 폭 43% · 주가강도 22점",가공식품
南宁百货,600712.SS,CN,경기소비재,5.43,2026-09-11,2,9.96,8.02,7.51,6.53,6.83,4.92,6.0,38.8,6.83,True,False,False,-27.7,-20.5,False,19.0,-71.4,34.1,False,21.0,62.0,백화점 소형주 · 시총 35억위안 · 박스 6주 · 폭 39% · 주가강도 21점,백화점
天顺风能,002531.SZ,CN,산업재,7.81,2026-09-11,2,3.04,5.3,7.12,7.03,6.98,5.8,8.0,20.3,13.4,False,True,True,9.69,11.89,False,23.67,-67.0,41.7,False,27.0,60.0,산업기계 중형주 · 시총 130억위안 · 박스 8주 · 폭 20% · 완전돌파 · 주가강도 27점,산업기계
CHERVON,2285.HK,HK,산업재,26.34,2026-09-11,2,15.0,20.81,23.0,21.2,22.5,18.02,10.0,24.9,24.46,False,False,True,14.52,17.07,False,71.0,-62.9,3.8,False,76.0,58.0,공구·부품 중형주 · 시총 125억HKD · ROE 10% · 박스 10주 · 폭 25% · 주가강도 76점,공구·부품
TSE1699,1699.T,JP,미분류,708.8,2026-09-11,2,5.43,2.41,706.9,693.5,682.0,533.0,15.0,28.0,704.8,True,True,True,0.27,3.93,False,1160.0,-38.9,0.4,False,85.0,58.0,- · 박스 15주 · 폭 28% · 완전돌파 · 주가강도 상위 15%,-
芯能科技,603105.SS,CN,기술·IT,8.07,2026-09-11,2,2.63,5.45,8.6,8.45,8.38,6.68,8.0,25.4,14.42,False,True,False,-6.16,-3.7,False,28.99,-72.2,44.0,False,26.0,54.0,태양광 소형주 · 시총 42억위안 · ROE 5% · 박스 8주 · 폭 25% · 완전돌파 · 주가강도 26점,태양광
湖南发展,000722.SZ,CN,산업재,14.44,2026-09-11,2,2.58,4.28,15.12,14.9,14.74,11.94,7.0,23.5,19.69,False,True,False,-4.5,-2.04,False,33.85,-57.3,26.7,False,48.0,54.0,복합기업 소형주 · 시총 97억위안 · ROE 4% · 박스 7주 · 폭 24% · 완전돌파 · 주가강도 48점,복합기업
TSE2038,2038.T,JP,미분류,2734.0,2026-09-11,2,9.99,2.16,2720.0,2561.0,2570.0,1807.0,12.0,42.2,3241.0,False,False,True,0.51,6.38,False,3241.0,-15.6,15.6,True,85.0,52.0,- · 박스 12주 · 폭 42% · 주가강도 상위 15%,-
Woori Financial Group Inc. American De,WF,US,금융,79.48,2026-09-11,2,5.82,1.59,78.9,78.23,77.68,60.19,9.0,29.1,77.68,True,True,True,0.74,2.32,False,100.12,-20.6,6.2,False,72.0,50.0,금융 중형주 · 시총 191억달러 · 분기이익 +9% · ROE 9% · 박스 9주 · 폭 29% · 완전돌파 · 주가강도 72점,금융
优彩资源,002998.SZ,CN,소재,7.5,2026-09-11,2,7.56,3.52,9.25,7.75,8.79,6.97,7.0,26.1,10.45,False,False,False,-18.92,-14.68,False,16.8,-55.4,28.2,False,32.0,49.0,정밀화학 소형주 · 시총 28억위안 · ROE 5% · 박스 7주 · 폭 26% · 주가강도 32점,정밀화학
"Inspire Medical Systems, Inc. Common S",INSP,US,헬스케어,74.6,2026-09-11,2,2.58,1.83,69.88,69.87,68.5,48.21,9.0,42.1,68.5,True,True,True,6.75,8.91,False,330.0,-77.4,49.3,False,73.0,44.0,의료기기 소형주 · 시총 21억달러 · ROE 18% · 박스 9주 · 폭 42% · 완전돌파 · 주가강도 73점,의료기기
水发燃气,603318.SS,CN,에너지,9.49,2026-09-11,2,6.28,2.27,11.0,9.85,10.55,7.55,11.0,39.7,15.1,False,False,False,-13.73,-10.05,False,33.91,-72.0,37.2,False,60.0,40.0,석유·가스 장비 소형주 · 시총 56억위안 · ROE 3% · 박스 11주 · 폭 40% · 주가강도 60점,석유·가스 장비
云煤能源,600792.SS,CN,소재,5.29,2026-09-10,3,9.55,5.03,5.39,5.01,4.92,3.41,6.0,44.3,5.44,False,True,True,-1.86,7.52,False,11.29,-53.1,11.1,False,76.0,64.0,코크스탄 소형주 · 시총 60억위안 · 박스 6주 · 폭 44% · 완전돌파 · 주가강도 76점,코크스탄
鼎信通讯,603421.SS,CN,기술·IT,7.58,2026-09-10,3,9.95,4.28,7.29,6.84,6.63,5.12,7.0,29.5,11.36,False,True,True,3.98,14.33,False,44.44,-82.9,33.3,False,39.0,64.0,계측·정밀기기 소형주 · 시총 48억위안 · 박스 7주 · 폭 30% · 완전돌파 · 주가강도 39점,계측·정밀기기
南 京 港,002040.SZ,CN,산업재,9.42,2026-09-10,3,10.02,7.45,10.98,10.16,9.98,7.71,8.0,29.4,11.3,False,True,False,-14.21,-5.61,False,20.91,-54.9,30.8,False,35.0,64.0,해운 소형주 · 시총 50억위안 · ROE 6% · 박스 8주 · 폭 29% · 완전돌파 · 주가강도 35점,해운
유일로보틱스,388720.KQ,KR,미분류,69500.0,2026-09-10,3,19.46,7.04,79200.0,70200.0,77800.0,53800.0,11.0,44.6,116500.0,False,False,False,-12.25,-10.67,False,155000.0,-55.2,55.2,False,10.0,58.0,"- 소형주 · 시총 8,188억원 · 박스 11주 · 폭 45% · 주가강도 10점",-
新力金融,600318.SS,CN,금융,6.29,2026-09-10,3,10.07,6.47,8.09,7.62,7.83,6.3,6.0,24.3,9.99,False,False,False,-22.25,-19.67,False,21.93,-71.3,43.4,False,10.0,58.0,자산운용 소형주 · 시총 41억위안 · ROE 5% · 박스 6주 · 폭 24% · 주가강도 10점,자산운용
Tsakos Energy Navigation Ltd Common Sh,TEN,US,에너지,51.11,2026-09-10,3,2.69,3.15,45.51,43.8,44.51,34.89,14.0,27.6,45.85,False,False,True,12.3,14.83,False,197.4,-74.1,0.2,False,92.0,54.0,석유·가스 수송 소형주 · 시총 14억달러 · 분기이익 +162% 급증 · ROE 17% · 박스 14주 · 폭 28% · 주가강도 상위 8% (최상위권),석유·가스 수송
盾安环境,002011.SZ,CN,산업재,12.92,2026-09-10,3,2.73,7.82,12.79,12.52,12.54,9.73,14.0,28.9,13.53,False,False,True,1.02,3.03,False,24.49,-47.2,16.9,False,49.0,52.0,산업기계 중형주 · 시총 141억위안 · ROE 15% · 박스 14주 · 폭 29% · 주가강도 49점,산업기계
长城电工,600192.SS,CN,산업재,7.71,2026-09-10,3,4.82,3.84,8.27,8.2,8.12,6.4,6.0,26.9,10.26,False,True,False,-6.77,-5.05,False,20.05,-61.5,35.7,False,19.0,49.0,전기장비·부품 소형주 · 시총 38억위안 · 박스 6주 · 폭 27% · 완전돌파 · 주가강도 19점,전기장비·부품
华康股份,605077.SS,CN,소재,11.39,2026-09-10,3,4.5,8.15,14.4,12.79,13.78,10.6,6.0,30.0,19.44,False,False,False,-20.9,-17.34,False,49.29,-76.9,41.8,False,10.0,48.0,화학 소형주 · 시총 40억위안 · ROE 3% · 박스 6주 · 폭 30% · 주가강도 10점,화학
Kinetik Holdings Inc. Class A Common S,KNTK,US,에너지,54.7,2026-09-10,3,3.57,1.74,56.5,54.1,56.1,43.54,27.0,28.8,56.1,True,False,False,-3.19,-2.5,False,104.8,-47.8,3.9,False,72.0,45.0,석유·가스 수송 중형주 · 시총 93억달러 · 분기이익 +94% 급증 · ROE 19% · 박스 27주 · 폭 29% · 주가강도 72점,석유·가스 수송
招商轮船,601872.SS,CN,에너지,20.5,2026-09-10,3,2.0,1.88,21.41,19.88,20.99,14.97,7.0,40.2,22.16,False,False,False,-4.25,-2.33,False,22.16,-7.5,7.5,False,95.0,45.0,"석유·가스 수송 대형주 · 시총 1,662억위안 · ROE 25% · 박스 7주 · 폭 40% · 주가강도 상위 5% (최상위권)",석유·가스 수송
利民股份,002734.SZ,CN,소재,17.08,2026-09-10,3,4.25,1.65,18.15,16.78,17.92,12.6,7.0,42.2,22.79,False,False,False,-5.9,-4.69,False,24.87,-31.3,25.1,False,25.0,34.0,농업 자재 소형주 · 시총 80억위안 · ROE 14% · 박스 7주 · 폭 42% · 주가강도 25점,농업 자재
瑞尔特,002790.SZ,CN,산업재,7.54,2026-09-09,4,10.01,4.56,7.69,7.69,6.99,5.45,6.0,28.3,8.26,False,True,True,-1.95,7.87,False,23.78,-68.3,43.0,False,46.0,64.0,건축자재·설비 소형주 · 시총 32억위안 · 박스 6주 · 폭 28% · 완전돌파 · 주가강도 46점,건축자재·설비
Sasol Ltd. American Depositary Shares,SSL,US,소재,15.11,2026-09-09,4,6.17,3.89,14.12,14.12,13.33,10.69,8.0,24.7,14.37,False,True,True,7.01,13.35,False,67.93,-77.8,0.5,False,93.0,62.0,정밀화학 중형주 · 시총 93억달러 · ROE 9% · 박스 8주 · 폭 25% · 완전돌파 · 주가강도 상위 7% (최상위권),정밀화학
密封科技,301020.SZ,CN,산업재,20.54,2026-09-09,4,8.03,3.85,23.01,22.7,21.86,17.69,6.0,23.6,34.99,False,True,False,-10.73,-6.04,False,46.5,-55.8,41.3,False,17.0,59.0,금속가공 소형주 · 시총 31억위안 · ROE 10% · 박스 6주 · 폭 24% · 완전돌파 · 주가강도 17점,금속가공
中百集团,000759.SZ,CN,필수소비재,6.75,2026-09-09,4,8.44,2.05,8.35,7.84,7.7,5.52,12.0,39.5,7.7,True,True,False,-19.16,-12.34,False,16.14,-58.2,29.4,False,37.0,58.0,할인점 소형주 · 시총 60억위안 · 박스 12주 · 폭 40% · 완전돌파 · 주가강도 37점,할인점
贵州燃气,600903.SS,CN,유틸리티,6.75,2026-09-09,4,3.72,4.13,7.52,7.35,7.25,5.68,7.0,27.6,10.66,False,True,False,-10.24,-6.9,False,26.78,-74.8,36.7,False,26.0,54.0,유틸리티 소형주 · 시총 86억위안 · ROE 2% · 박스 7주 · 폭 28% · 완전돌파 · 주가강도 26점,유틸리티
东瑞股份,001201.SZ,CN,필수소비재,14.08,2026-09-09,4,2.45,4.61,13.81,13.71,13.57,10.8,10.0,25.6,15.3,False,True,True,1.96,3.76,False,54.33,-74.1,23.7,False,47.0,54.0,농산물 소형주 · 시총 35억위안 · 박스 10주 · 폭 26% · 완전돌파 · 주가강도 47점,농산물
桂林旅游,000978.SZ,CN,경기소비재,9.77,2026-09-09,4,2.87,10.11,8.24,7.61,8.01,5.69,6.0,40.8,8.68,False,False,True,18.57,21.97,False,20.65,-52.7,15.8,False,88.0,52.0,숙박 소형주 · 시총 45억위안 · ROE 1% · 박스 6주 · 폭 41% · 주가강도 상위 12%,숙박
精华制药,002349.SZ,CN,헬스케어,8.19,2026-09-09,4,4.63,5.31,8.81,8.26,8.47,6.6,6.0,28.3,8.47,True,False,False,-7.04,-3.31,False,30.6,-73.2,11.6,False,58.0,52.0,헬스케어 소형주 · 시총 77억위안 · ROE 9% · 박스 6주 · 폭 28% · 주가강도 58점,헬스케어
北方铜业,000737.SZ,CN,소재,13.89,2026-09-09,4,3.18,3.98,16.21,15.99,15.86,12.68,7.0,25.1,16.52,False,True,False,-14.31,-12.42,False,21.5,-35.4,35.4,False,29.0,49.0,구리 중형주 · 시총 314억위안 · ROE 24% · 박스 7주 · 폭 25% · 완전돌파 · 주가강도 29점,구리
黑猫股份,002068.SZ,CN,소재,9.22,2026-09-09,4,6.04,3.96,9.65,9.1,9.1,7.12,7.0,27.8,15.99,False,False,True,-4.46,1.32,False,24.25,-62.0,42.3,False,22.0,49.0,정밀화학 소형주 · 시총 80억위안 · 박스 7주 · 폭 28% · 주가강도 22점,정밀화학
KEEPER TECHNICAL LABORATORY ,6036.T,JP,소재,3590.0,2026-09-09,4,3.06,1.93,3700.0,3615.0,3650.0,2548.0,15.0,43.2,3650.0,True,False,False,-2.97,-1.64,False,7190.0,-50.1,8.9,False,58.0,42.0,정밀화학 소형주 · 시총 961억엔 · ROE 46% · 박스 15주 · 폭 43% · 주가강도 58점,정밀화학
深华发Ａ,000020.SZ,CN,기술·IT,12.36,2026-09-09,4,4.89,1.71,14.37,14.32,13.74,10.07,6.0,36.4,25.66,False,True,False,-13.99,-10.04,False,37.37,-66.9,51.8,False,20.0,40.0,전자부품 소형주 · 시총 38억위안 · ROE 7% · 박스 6주 · 폭 36% · 완전돌파 · 주가강도 20점,전자부품
美格智能,002881.SZ,CN,기술·IT,40.33,2026-09-09,4,2.08,2.32,48.5,44.3,47.99,33.9,14.0,41.6,50.2,False,False,False,-16.85,-15.96,False,73.0,-44.8,28.1,False,19.0,38.0,통신장비 중형주 · 시총 128억위안 · ROE 7% · 박스 14주 · 폭 42% · 주가강도 19점,통신장비
Pharvaris N.V. - Ordinary Shares,PHVS,US,헬스케어,38.06,2026-09-08,5,16.2,11.25,40.96,37.6,38.13,29.56,13.0,29.0,38.13,True,False,False,-7.08,-0.18,False,43.25,-12.0,12.0,False,82.0,70.0,바이오 소형주 · 시총 27억달러 · 박스 13주 · 폭 29% · 주가강도 상위 18%,바이오
中信出版,300788.SZ,CN,통신·미디어,32.31,2026-09-08,5,12.96,3.38,29.89,29.42,28.81,22.17,14.0,30.0,40.7,False,True,True,8.1,12.15,False,55.27,-41.5,32.4,False,56.0,63.0,출판 소형주 · 시총 57억위안 · ROE 5% · 박스 14주 · 폭 30% · 완전돌파 · 주가강도 56점,출판
ZIM Integrated Shipping Services Ltd. ,ZIM,US,산업재,29.57,2026-09-08,5,5.63,2.94,30.19,29.41,29.56,22.93,27.0,28.9,29.56,True,False,True,-2.05,0.03,False,91.23,-67.6,2.7,False,83.0,60.0,해운 소형주 · 시총 36억달러 · 분기이익 +179% 급증 · ROE 4% · 박스 27주 · 폭 29% · 주가강도 상위 17%,해운
道道全,002852.SZ,CN,필수소비재,7.92,2026-09-08,5,6.84,5.69,10.0,9.5,9.36,7.29,6.0,28.4,12.19,False,True,False,-20.8,-15.38,False,55.57,-85.7,35.0,False,13.0,60.0,가공식품 소형주 · 시총 32억위안 · ROE 3% · 박스 6주 · 폭 28% · 완전돌파 · 주가강도 13점,가공식품
超声电子,000823.SZ,CN,기술·IT,23.9,2026-09-08,5,8.09,2.6,17.23,16.37,16.04,11.6,7.0,38.3,29.77,False,True,True,38.71,49.0,False,29.77,-19.7,19.7,False,84.0,59.0,가전·전자기기 중형주 · 시총 111억위안 · ROE 5% · 박스 7주 · 폭 38% · 완전돌파 · 주가강도 상위 16%,가전·전자기기
赞宇科技,002637.SZ,CN,소재,11.04,2026-09-08,5,5.24,3.38,13.45,12.91,12.9,9.01,12.0,43.2,17.16,False,True,False,-17.92,-14.42,False,22.38,-50.7,35.7,False,30.0,59.0,화학 소형주 · 시총 61억위안 · ROE 6% · 박스 12주 · 폭 43% · 완전돌파 · 주가강도 30점,화학
中国出版,601949.SS,CN,통신·미디어,5.97,2026-09-08,5,6.08,3.59,6.8,6.66,6.41,4.98,6.0,28.7,6.82,False,True,False,-12.21,-6.86,False,17.04,-65.0,26.1,False,38.0,55.0,출판 중형주 · 시총 124억위안 · ROE 5% · 박스 6주 · 폭 29% · 완전돌파 · 주가강도 38점,출판
丝路视觉,300556.SZ,CN,통신·미디어,15.48,2026-09-08,5,5.45,3.64,18.0,17.5,17.45,13.61,9.0,28.2,23.0,False,True,False,-14.0,-11.29,False,86.56,-82.1,32.7,False,8.0,55.0,엔터테인먼트 소형주 · 시총 20억위안 · ROE 4% · 박스 9주 · 폭 28% · 완전돌파 · 주가강도 8점,엔터테인먼트
中粮糖业,600737.SS,CN,필수소비재,14.38,2026-09-08,5,9.51,1.57,18.08,17.75,17.17,11.97,6.0,43.4,17.17,True,True,False,-20.46,-16.25,False,32.6,-55.9,29.2,False,31.0,54.0,제과 중형주 · 시총 394억위안 · ROE 10% · 박스 6주 · 폭 43% · 완전돌파 · 주가강도 31점,제과
综艺股份,600770.SS,CN,기술·IT,5.56,2026-09-08,5,2.5,4.63,5.73,5.64,5.59,4.43,7.0,26.2,8.78,False,True,False,-2.97,-0.54,False,32.5,-82.9,36.7,False,29.0,54.0,반도체 소형주 · 시총 74억위안 · ROE 4% · 박스 7주 · 폭 26% · 완전돌파 · 주가강도 29점,반도체
慈文传媒,002343.SZ,CN,통신·미디어,5.49,2026-09-08,5,4.44,3.33,5.88,5.74,5.71,4.47,6.0,27.7,6.92,False,True,False,-6.63,-3.85,False,56.77,-90.3,38.2,False,21.0,49.0,엔터테인먼트 소형주 · 시총 28억위안 · 박스 6주 · 폭 28% · 완전돌파 · 주가강도 21점,엔터테인먼트
大叶股份,300879.SZ,CN,산업재,15.34,2026-09-08,5,3.76,3.68,18.21,17.5,18.0,13.93,11.0,29.2,29.94,False,False,False,-15.76,-14.78,False,83.6,-81.7,61.5,False,2.0,43.0,공구·부품 소형주 · 시총 34억위안 · 박스 11주 · 폭 29% · 주가강도 2점,공구·부품
SERIA CO LTD,2782.T,JP,필수소비재,4885.0,2026-09-08,5,4.6,2.33,4780.0,4645.0,4660.0,3685.0,7.0,26.5,4660.0,True,False,True,2.2,4.83,False,7390.0,-33.9,0.4,False,80.0,42.0,"할인점 소형주 · 시총 3,008억엔 · ROE 16% · 박스 7주 · 폭 26% · 주가강도 상위 20%",할인점
QUALCOMM Incorporated - Common Stock,QCOM,US,기술·IT,187.8,2026-09-08,5,6.91,2.08,180.4,172.04,178.65,142.89,7.0,25.0,259.92,False,False,True,4.1,5.12,False,259.92,-27.7,27.7,False,47.0,40.0,"반도체 대형주 · 시총 1,889억달러 · 분기이익 -23% · ROE 34% · 박스 7주 · 폭 25% · 주가강도 47점",반도체
亚康股份,301085.SZ,CN,기술·IT,70.5,2026-09-08,5,7.27,2.13,71.87,68.3,70.0,54.74,6.0,27.9,89.09,False,False,True,-1.91,0.71,False,93.0,-24.2,20.9,False,58.0,40.0,IT 서비스 소형주 · 시총 65억위안 · 박스 6주 · 폭 28% · 주가강도 58점,IT 서비스
