종목명,코드,시장,섹터,현재가,갭일,갭후일수,갭크기%,거래량배수,갭시가,갭저가,박스고점,박스저점,횡보주,횡보폭%,6개월고점,성곽돌파,완전돌파,갭유지,갭시가대비%,박스위%,막돌파,사상최고가,최고가대비%,52주고점대비%,신규상장,상대강도,갭점수,투자포인트,소개
"Frequency Electronics, Inc. - Common S",FEIM,US,기술·IT,85.5,2026-09-11,1,33.13,4.86,82.62,78.32,80.6,55.89,7.0,44.2,80.6,True,False,True,3.49,6.08,True,89.76,-4.7,4.7,False,96.0,73.0,통신장비 소형주 · 시총 10억달러 · 분기이익 +486% 급증 · 박스 7주 · 폭 44% · 주가강도 상위 4% (최상위권),통신장비
GLOBAL SECURITY EXPERTS INC,4417.T,JP,기술·IT,5280.0,2026-09-15,1,4.97,3.84,5170.0,5110.0,5060.0,4030.0,8.0,25.6,5060.0,True,True,True,2.13,4.35,True,5500.0,-4.0,4.0,False,94.0,64.0,기술·IT 소형주 · 시총 781억엔 · ROE 41% · 박스 8주 · 폭 26% · 완전돌파 · 주가강도 상위 6% (최상위권),기술·IT
Woori Financial Group Inc. American De,WF,US,금융,80.81,2026-09-11,1,5.82,1.59,78.9,78.23,77.68,60.19,9.0,29.1,77.68,True,True,True,2.42,4.03,True,100.12,-19.3,4.6,False,76.0,50.0,금융 중형주 · 시총 191억달러 · 분기이익 +9% · ROE 9% · 박스 9주 · 폭 29% · 완전돌파 · 주가강도 76점,금융
TSE1671,1671.T,JP,미분류,6325.0,2026-09-11,3,7.77,3.19,6213.0,6058.0,5864.0,4591.0,8.0,27.7,6008.0,True,True,True,1.8,7.86,True,7140.0,-11.4,0.4,False,91.0,66.0,- · 박스 8주 · 폭 28% · 완전돌파 · 주가강도 상위 9% (최상위권),-
KAKAKU.COM. INC,2371.T,JP,통신·미디어,3842.0,2026-09-11,3,3.46,1.62,3823.0,3772.0,3740.0,3201.0,17.0,16.8,3740.0,True,True,True,0.5,2.73,True,3915.0,-1.9,0.7,False,86.0,66.0,"인터넷 콘텐츠 중형주 · 시총 7,510억엔 · ROE 31% · 박스 17주 · 폭 17% · 완전돌파 · 주가강도 상위 14%",인터넷 콘텐츠
Roivant Sciences Ltd. - Common Shares,ROIV,US,헬스케어,41.02,2026-09-08,4,14.46,3.95,39.98,38.41,37.97,30.57,11.0,24.2,37.97,True,True,True,2.6,8.03,True,42.5,-3.5,3.5,False,94.0,74.0,바이오 중형주 · 시총 300억달러 · 박스 11주 · 폭 24% · 완전돌파 · 주가강도 상위 6% (최상위권),바이오
Pharvaris N.V. - Ordinary Shares,PHVS,US,헬스케어,38.86,2026-09-08,4,16.2,11.25,40.96,37.6,38.13,29.56,13.0,29.0,38.13,True,False,True,-5.13,1.91,True,43.25,-10.2,10.2,False,84.0,70.0,바이오 소형주 · 시총 27억달러 · 박스 13주 · 폭 29% · 주가강도 상위 16%,바이오
CMB.TECH NV Ordinary Shares,CMBT,US,에너지,19.42,2026-09-04,5,3.21,1.59,19.3,19.3,19.04,14.83,8.0,28.4,19.04,True,True,True,0.62,2.0,True,21.26,-8.7,2.4,False,90.0,55.0,석유·가스 수송 중형주 · 시총 56억달러 · ROE 30% · 박스 8주 · 폭 28% · 완전돌파 · 주가강도 상위 10% (최상위권),석유·가스 수송
SENSHU ELECTRIC CO,9824.T,JP,기술·IT,7680.0,2026-09-07,7,4.07,2.11,7680.0,7570.0,7570.0,5340.0,36.0,41.8,7570.0,True,False,True,0.0,1.45,True,8150.0,-5.8,5.8,False,76.0,49.0,"전자·컴퓨터 유통 소형주 · 시총 1,375억엔 · ROE 15% · 박스 36주 · 폭 42% · 주가강도 76점",전자·컴퓨터 유통
